Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
YT_RELATED.KaX87a051tY,Content,"Soul Retreat in Nature 🌳 Healing Music for Stress Relief, Piano & Forest Sounds to Refresh Body",5,0,6,0:48:19,4.8317
YT_RELATED.Pern4FeAB5E,Content,"100% Anti-Stress Therapy for Mind, Body & Soul 🌧️ Let the Rain and Birds Heal You ~ Deep Healing 💗",11,0,6,0:45:37,4.5627
YT_RELATED.RFrzq3x1F0k,Content,Workday Zen Birdsong 🕊️🕊️🕊️ & Piano for Stress Free Productivity,10,0,6,0:56:38,5.6643
YT_RELATED.VKRXzQwHNPA,Content,a quiet playlist for cozy morning ❄️ (winter version),56,8.93,6,0:20:14,2.0243
YT_RELATED.ZhdYN9XiAdw,Content,"When You Choose Softness ❄️🌲 Relaxing Guitar Music for Peace, Sleep & Deep Emotional Calm",38,15.79,6,0:10:30,1.0501
YT_RELATED.cBwyvpbRGCg,Content,"Cozy Winter Cottage | 🎄🌟 Relaxing Christmas Soft Piano Music for Relax, Sleep, Study | 4K",94,5.32,6,0:34:11,3.4188
YT_RELATED.qmhu73voOpE,Content,poetic winter | a piano playlist,39,7.69,6,0:21:25,2.1421
YT_RELATED.sfsx2VTNzp4,Content,"Beautiful Healing Music🌿 Relaxing Music to Let Go of Negative Thoughts, Calming Nature Music",5,0,6,0:48:42,4.8703
YT_RELATED.tGCGCbAIWeg,Content,relaxing piano playlist to rest & recharge | slow life mode,26,0,6,0:41:44,4.1748
YT_RELATED.12oey7POan0,Content,"a quiet day playlist for relaxing, reading & journaling",12,16.67,5,0:43:17,3.6076
YT_RELATED.57XIp_vsQVY,Content,"calm piano music for studying, reading, or writing",10,20,5,0:38:34,3.2141
YT_RELATED.9GKKPOoTQF4,Content,"Beautiful Relaxing Music 🍁 Soothing Autumn Music For Stress Relief, Deep Relaxtion, Calm Nervous",14,0,5,0:26:37,2.2182
YT_RELATED.BI8D55sJLsE,Content,"Beautiful Relaxing Music, Calm Music, Peaceful Instrumental Music❄️Magical Winter Wonderland",4,0,5,0:55:23,4.6159
YT_RELATED.H0NoecxGBVM,Content,"Relaxing Sleep Music + Insomnia 🌿 Relieve Stress, Anxiety & Depression | Calm Mind & Body",6,0,5,0:40:02,3.3369
YT_RELATED.HMnC6FvMtSM,Content,Исцеляющая музыка для сердца и души 🌿 Снятие стресса и внутреннее спокойствие #5,3,0,5,0:42:22,3.531
YT_RELATED.QC1S_QITRPU,Content,dreamy november playlist 🍁 soft piano & chill music for relaxation,28,14.29,5,0:24:08,2.0115
YT_RELATED.VVPKOC-f9FU,Content,🔥Cozy Fireplace Crackling 24/7 | ❄️Snowy Cabin Views | Winter Ambience,37,13.51,5,0:42:31,3.5441
YT_RELATED.acDv6asTYas,Content,Autumn Morning Coffee 🍂– Soft Piano Melodies with Warm Light and Peaceful to Start Your Day 🌻,10,0,5,0:41:27,3.455
YT_RELATED.mQNiLrIqGFc,Content,a playlist for a quiet morning ❄️ (early winter edition),23,4.35,5,0:51:49,4.3184
YT_RELATED.wb8aOn8prao,Content,a quiet playlist for romanticizing winter holidays 🌲☃️ (christmas version),30,6.67,5,0:27:19,2.2769
YT_RELATED.2rwwhM4-O5g,Content,"a quiet autumn playlist for quiet people (reading, writing, or studying) 🍂",6,16.67,4,0:33:22,2.2253
YT_RELATED.64pD4_3aS0E,Content,Snowy Night Library ✦ Cozy Winter Ambience with Piano & Guitar by the Fire,15,20,4,0:03:11,0.2128
YT_RELATED.8O-hISDiIx0,Content,Warm Winter Coffee Shop ❄️☕ Gentle Piano Jazz & Crackling Fire for Calm Focus and Comfort,8,0,4,0:50:26,3.3625
YT_RELATED.AITFvyUT3Gc,Content,autumn feels like poetry (calm piano for studying/relaxing),27,3.7,4,0:20:42,1.3806
YT_RELATED.EPvcEOkWS0E,Content,Little Women: christmas morning (a playlist),57,7.02,4,0:16:01,1.0688
YT_RELATED.GibQ-kot0p8,Content,a playlist for quiet autumn afternoons 🍂,15,0,4,1:00:18,4.0203
YT_RELATED.I8LeYja2vpI,Content,Healing Music for the Heart & Mind 🌿 Nature Sounds for Stress Relief & Deep Sleep,4,0,4,0:57:59,3.8664
YT_RELATED.JNuuch0KajI,Content,Relax Gently with September Autumn 🍁 Soft Piano & Gentle Light for a Peaceful Start,7,0,4,1:00:08,4.0093
YT_RELATED.LuwmcoB_q6s,Content,a piano playlist for quiet day 🍁 (autumn edition),31,3.23,4,0:21:07,1.4087
YT_RELATED.MGiWddk2BCw,Content,Winter Tales of a Tiny World | Relaxing Background Music | Orchestral Playlist,22,13.64,4,0:29:30,1.9677
YT_RELATED.QeLlV6WP8tQ,Content,"Birds Chirping & Calm Nature Sounds | Peaceful Music for Relaxation, Study & Deep Sleep",7,0,4,0:47:30,3.1668
YT_RELATED.R8XXUQLk2PQ,Content,"Snowy, May Your Worries Melt Away ❄️🌲 Relaxing Guitar Music for Winter Night, Sleep & Cozy Focus",17,23.53,4,0:15:09,1.0103
YT_RELATED.TWTgLSE1TNs,Content,"ВОССТАНОВЛЕНИЕ НЕРВНОЙ СИСТЕМЫ 🌿 Нежная музыка, успокаивает нервную систему и радует душу #32",0,,4,1:00:18,4.0203
YT_RELATED.VYyOYGF0EPY,Content,🔥🎼Quiet Winter Piano Lounge | Snow Outside & Fire Inside | Focus Study Work Meditation Relax Calm,40,10,4,0:16:18,1.0871
YT_RELATED.WWIY9VqVYLk,Content,Soothing Sounds for the Soul 🌿 Music to Release Worry & Sleep Well,16,0,4,0:55:17,3.6859
YT_RELATED.YA1H0Zdhngs,Content,Cozy Christmas Ambience 2025 | Warm Fireplace & Soft Snow With Crackling Fire for Sleep and Calm,13,0,4,0:57:14,3.8158
YT_RELATED._YEVYAYlhDg,Content,Soothing Winter Melodies – Calm Your Mind & Ease Tension,15,13.33,4,0:29:10,1.9451
YT_RELATED.banNs3P0TUA,Content,"Calming Music to Heal the Heart🌿Relaxing Music, Stop Overthinking, Stress Relief Music, Sleep Music",3,33.33,4,0:40:49,2.7215
YT_RELATED.bou3ndCL-Xo,Content,"Morning Forest Ambience, Gentle River Sounds and Calming Birdsong for Sleep, Relaxation",5,0,4,1:00:02,4.0024
YT_RELATED.eyU4lGZYFJ4,Content,"Relaxing Music to Relieve Stress, Anxiety And Depression • Mind, Body & Soul Healing",4,0,4,1:00:19,4.0212
YT_RELATED.imLQUXjxGuk,Content,"Soothing, relaxing music reduces stress and stops thinking too much",7,0,4,0:49:02,3.2691
YT_RELATED.kZI0IpREbuQ,Content,relaxing piano playlist to feel safe & calm,18,11.11,4,0:23:42,1.5809
YT_RELATED.lrE8fWHHyW4,Content,winter _____ . | peaceful acoustic,18,22.22,4,0:24:46,1.6516
YT_RELATED.n6EUwWbOg6A,Content,Cozy Winter Window with Some Dark Academia Piano | Victorian Manor Ambience | Studying Alone,9,33.33,4,0:16:37,1.1081
YT_RELATED.u1INzh4UZFA,Content,you found this playlist on a quiet winter coffee morning ❄️,13,15.38,4,0:43:13,2.8814
YT_RELATED.z57PQq1cuDU,Content,a calm playlist for slow weekends 🍁 (late autumn edition),9,0,4,0:45:13,3.0149
YT_RELATED.0-nAVbArc38,Content,"Restore Your Nervous System ❄️ Beautiful Relaxing Music, Winter Healing Music, Stress Relief",6,33.33,3,0:40:19,2.0161
YT_RELATED.2lgB5UYUziY,Content,a comfort playlist for a quiet moment.,6,33.33,3,0:10:10,0.5086
YT_RELATED.3Dpd3g_O7go,Content,"Relaxing Music + Water Sounds for Meditation 🌿 Relieves Anxiety and Depression, Deep Healing",1,0,3,1:00:18,3.0152
YT_RELATED.3KgWqu-1Ojc,Content,Winter Bridge Melancholy | Dark Academia Piano Ambience for Writers & Study,7,14.29,3,0:40:13,2.011
YT_RELATED.3bLPiSSp67Q,Content,Enchanting Winter Lantern ❄️ Peaceful Classical Music for Sleep & Focus (1 Hour),24,4.17,3,0:17:00,0.8505
YT_RELATED.5J2IlicefDI,Content,"Relaxing Piano Music with Nature Sounds 🌿 Stress Relief, Anxiety Healing, Deep Sleep",0,,3,0:27:57,1.398
YT_RELATED.7CZgwT7mAtI,Content,playlist to feel life like a daydream 🍂,3,0,3,0:44:26,2.2222
YT_RELATED.7GPnBFo20XY,Content,"Calming Music to Heal the Heart 🌿 Healing Music for Stress Relief, Forest Sounds to Refresh Body",7,0,3,1:00:18,3.0152
YT_RELATED.7jt-k36wLAo,Content,"Music Heals the Heart & Blood Vessels🌿Calming Piano Music for Stop Overthinking, Stress Relief",10,0,3,0:49:06,2.4557
YT_RELATED.9Srk5Ie3e4w,Content,"Soothing Relaxation Music + Water Sound 🍃 Relaxing Music for Stress Relief, Deep Sleep,Calm the Mind",3,0,3,0:21:08,1.0573
YT_RELATED.AdvDomHPp-w,Content,Восстановление нервной системы 🌿 Нежная музыка для внутреннего покоя и снятия стресса #8,2,0,3,0:40:17,2.0144
YT_RELATED.AsT3aNBCtc8,Content,"Restore nervous system🌿Relaxing Piano Music, Sleep & Stress Relief with Calming Nature Sounds",5,0,3,0:57:07,2.8566
YT_RELATED.Eoerou8Abi8,Content,Stress Melts Away in 5 Minutes ~ Rain with Sweet Birds 🌧️❣️ Eliminate Negativity & Stop Overthinking,5,0,3,0:41:52,2.0935
YT_RELATED.EvPEXA2iH4g,Content,slow living (a quiet life playlist),14,21.43,3,0:01:28,0.0737
YT_RELATED.GhptIRMn7Bo,Content,Medieval Music — Christmas Fantasy in a Snowy Kingdom | Relaxing Celtic Winter Ambience for Study,9,33.33,3,0:20:39,1.0329
YT_RELATED.Iy6WmnUs-9o,Content,"Relaxing Music + Bamboo Water Sounds 🌿 Deep Sleeping Music, Stress Relief, Calm the Mind, Spa BGM",3,0,3,0:47:38,2.3824
YT_RELATED.PoQsBhAXKyQ,Content,Warm Coffee Guitar ~ Peaceful Winter Morning Instrumental Music,9,44.44,3,0:25:44,1.2874
YT_RELATED.ShzqWdPXw9Q,Content,Snowy Winter Morning ❄️ Beautiful Relaxing Music for Stress Relief ~ Tranquil Winter Piano,6,16.67,3,0:43:38,2.1818
YT_RELATED.UKbZ4r88z3Q,Content,The quiet beauty of everyday life | Piano Playlist,44,6.82,3,0:14:14,0.7123
YT_RELATED.XNtDIyG5LXE,Content,"Quiet Night🌲 ❄️ | Peaceful Ambient Music for Sleep, Meditation & Relaxation",22,13.64,3,0:21:27,1.0729
YT_RELATED.YSHwJAXccW8,Content,"Relaxing Winter 2025 ❄️Peaceful Piano Music, Soothing Instrumental Music ~ Relax and Unwind",2,0,3,1:00:18,3.0152
YT_RELATED.Z_zDVJWQ7go,Content,Исцеляющая музыка для сердца и души 🌿 Снятие стресса и внутреннее спокойствие #4,3,0,3,1:00:18,3.0152
YT_RELATED._CdIEcJOpEc,Content,peaceful piano playlist to feel the beauty of everyday life,9,0,3,1:00:18,3.0152
YT_RELATED.bMjzkAQGhFw,Content,"Simply listen for 4 minutes to release all stress – Heal Your Heart, Stop Overthinking and Anxiety🍃🌸",24,0,3,0:42:06,2.1057
YT_RELATED.f453AvHiLzM,Content,"Calm December Winter at Cozy Coffee Shop Ambience ☃️ Soft Jazz Background Music for Work, Studying",3,100,3,0:21:02,1.0524
YT_RELATED.gbCclsDPJao,Content,Relaxing music soothes the nervous system 🌿 Music heals the heart and blood vessels,4,50,3,0:22:35,1.1295
YT_RELATED.hgUGe1cf3So,Content,"Ghibli Chill 🌊 Studying, coffee, reading, healing 🎧 Ghibli Music",6,0,3,0:48:38,2.432
YT_RELATED.iDHwfqPqcKk,Content,A sleepy village life | Piano Playlist,10,20,3,0:40:12,2.0107
YT_RELATED.jlBSw4MBHC8,Content,"Classical music fights brain damage: heals, good for memory, restores good mood",8,25,3,0:33:12,1.6605
YT_RELATED.k0pXYezHh6g,Content,"Restore the Nervous System 🍂 Beautiful Autumn Music, Calming Healing Music, Relaxing Nature Sounds",1,0,3,0:42:35,2.1295
YT_RELATED.k0sgNK3-Duk,Content,"Beautiful Relaxing Music - Stop Overthinking, Stress Relief Music, Sleep Music, Calming Music #7",3,0,3,1:00:18,3.0152
YT_RELATED.k25NaRv0X78,Content,Rain and Birdsong to Rest Your Mind ~ Gain Mental Clarity in Minutes – Unlock Inner Peace Now 🌧️🍃,1,0,3,0:56:18,2.8153
YT_RELATED.kxRwhVT1pVk,Content,"peaceful piano music for relaxation, reading & slow mornings 🍂",7,14.29,3,0:20:18,1.0151
YT_RELATED.n3nEs2lSZhY,Content,🎧 Snowfall Lounge Ambience | Soft Piano & Cozy Fire | Winter Relaxation for Study Focus Sleep Calm,2,0,3,0:46:58,2.3484
YT_RELATED.pRUKDYquujU,Content,a playlist for romanticizing autumn afternoons 🍂,24,12.5,3,0:29:57,1.4976
YT_RELATED.pm0YhJrhcQs,Content,"Peaceful Relaxing Music, Soothing Instrumental Music❄️First Snow of November",10,10,3,1:00:18,3.0152
YT_RELATED.qgad7kyk1Iw,Content,Ludovico Einaudi - Nuvole Bianche (Soft & Reflective Piano Version),4,50,3,0:27:17,1.3645
YT_RELATED.rTOcCkU2vEQ,Content,❄️🎄 A Cozy Christmas playlist | Peaceful Piano Music for Relaxation Focus Reading Study & Inner Calm,22,13.64,3,0:41:14,2.0621
YT_RELATED.sEWNEzBJMqQ,Content,life feels like a daydream (relaxing/studying/reading playlist),8,12.5,3,1:00:03,3.003
YT_RELATED.wVTtuRcYt_I,Content,"Relaxing Music Relieves Stress, Calm Anxiety and Depression 🌿 Bamboo Water Fountain, Calm the Mind",3,33.33,3,1:00:18,3.0152
YT_RELATED.zKKWfOKGjbk,Content,"Music Heals the Heart🌿Beautiful Relaxing Music for Deep Inner Peace, Nature Sounds for Stress Relief",2,0,3,0:57:49,2.8915
YT_RELATED.-PO700uew7k,Content,"Музыка для здорового сердца и спокойного ума 🌿 Антистресс, расслабление и гармония #4",1,0,2,0:34:20,1.145
YT_RELATED.-Rurfb97yXE,Content,"Beautiful Relaxing Music - Stop Overthinking, Stress Relief Music, Sleep Music, Calming Music #10",5,0,2,0:54:23,1.8131
YT_RELATED.-Xil_qj8xkw,Content,"Soothing, relaxing music for calming the mind, restoring peace and emotional renewal",1,0,2,1:00:18,2.0101
YT_RELATED.-ZMUpVhTByk,Content,When You’re Tired of Pretending You’re Okay 🌷 Soft Healing for the Weight You Never Share,0,,2,0:48:08,1.6048
YT_RELATED.-nfLMMCj8vk,Content,December is a Beauty ❄️🎄Relaxing Guitar Music for Winter Nights & Cozy Christmas Calm,18,11.11,2,0:00:14,0.0079
YT_RELATED.-ssU7wR9IUE,Content,"Beautiful Relaxing Music 🍁 Soothing Autumn Music For Stress Relief & Healing, Calm Nervous",4,0,2,0:38:15,1.2751
YT_RELATED.0BMDcJVFP70,Content,"a quiet winter playlist for quiet people (reading, writing, or studying) ☃️",15,6.67,2,0:31:39,1.0552
YT_RELATED.0RR1G_NxKyE,Content,"Celtic Christmas Carols, Soft Holiday Christmas Music ""Snowy Winter Sleigh Ride"" by Tim Janis",0,,2,0:18:42,0.6237
YT_RELATED.16NSm2FD1Mo,Content,"Soothes Your Mind 🌿 Relaxing Music for Stop Overthinking, Stress Relief, Sleep, Calm, Heal",4,0,2,0:34:08,1.138
YT_RELATED.1J5CIzQAlgY,Content,A playlist for quiet hearts..,4,25,2,0:30:10,1.0059
YT_RELATED.1XeR4B2N4v8,Content,"Episode 02: être une femme au Japon:  grossesse, des étapes coûteuses et parfois difficiles",0,,2,0:10:44,0.3582
YT_RELATED.3bPCHy1rAkA,Content,Ode to the ordinary | Piano Playlist,30,6.67,2,0:45:36,1.5202
YT_RELATED.3hV5GtMCeZw,Content,Winter Kingdom - Beautiful Cello Music for the Soul,13,15.38,2,0:03:17,0.1095
YT_RELATED.4khIPP--FDU,Content,"Beautiful Piano Music 24/7 - Study Music, Relaxing Music, Sleep Music, Meditation Music",0,,2,1:04:31,2.1509
YT_RELATED.6Ust9EjlaYs,Content,a calm piano playlist for living a quiet life in a small winter town ✨🎄 (reading/studying),7,28.57,2,0:00:22,0.0124
YT_RELATED.6qnmhfH1Jgo,Content,Beautiful Relaxing Music 🍁 Soft Autumn Sounds for Stress Relief & Healing,7,0,2,1:00:18,2.0101
YT_RELATED.7yZRj29e20w,Content,Relaxing Winter Sun Guitar Music | Gentle Acoustic Instrumental & Cafe Vibes,2,50,2,0:50:44,1.6916
YT_RELATED.8Ddgy5tCKtg,Content,"Playlist | 다가오는 연말, 겨울 분위기를 더할 재즈 플리 ❤️ | 듣기만 해도 설레는 크리스마스 재즈 모음 | 매장 카페 ☕️  | Relaxing Jazz Music",6,33.33,2,0:24:13,0.8077
YT_RELATED.98gKLwJECUs,Content,"Beautiful Relaxing Music - Stop Overthinking, Stress Relief Music, Sleep Music, Calming Music #177",3,0,2,0:06:18,0.2102
YT_RELATED.9id5-zrTPV4,Content,"Soothing Music & Nature Sounds for Sleep, Meditation, Relax 🌿 Bamboo Water Fountain, Calm the Mind",3,0,2,0:45:09,1.5054
YT_RELATED.9nt-V7LsBZM,Content,a playlist for a quiet morning ☘️🍃🌄,6,33.33,2,0:08:50,0.2948
YT_RELATED.9zRpnb7P7eg,Content,a comfort playlist for a quiet night,17,5.88,2,0:00:30,0.017
YT_RELATED.AisesMOZpzQ,Content,(No Ads) Tranquil Sleep Instantly Within 5 Minutes • Overcome Stress • Instant Relaxation,4,0,2,0:33:47,1.1261
YT_RELATED.CUs2NoQpFIU,Content,Winter Dreams by the Fireside ~ Gentle Guitar Music & Snowy Forest Calm,11,18.18,2,0:00:08,0.0049
YT_RELATED.DTHrNhk_E8o,Content,"Healing Sleep Music 🌿 Relieve Stress, Anxiety & Depression | Deep Sleep Healing for Body & Soul",1,100,2,0:32:57,1.0984
YT_RELATED.DVMc2ysLBVc,Content,CALM - Soaking worship instrumental | Prayer and Devotional,7,28.57,2,0:00:49,0.0274
YT_RELATED.Do5mKZVhZ8k,Content,"GOOD MORNING MUSIC - Happy and Positive Energy🌞Background Music for Stress Relief, Study, Meditation",4,0,2,1:00:18,2.0101
YT_RELATED.DpbptRrXy_8,Content,"Christmas Ambience | The Polar Express 2004 | Calm Nostalgic Soundtrack, Winter Wind White Noise",8,12.5,2,0:06:42,0.2238
YT_RELATED.ESF7c-sqyWw,Content,"Restore your nervous system 🌿 Beautiful relaxing music and nature sounds for deep sleep, Calm music",0,,2,1:00:18,2.0101
YT_RELATED.EUiMVa9FAnI,Content,Sleeping Music For Deep Sleeping • Stop Overthinking • Find Deep Mental Stillness & Calm #3,0,,2,1:00:18,2.0101
YT_RELATED.GVFdmCFvFzM,Content,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 • The Princess Waltz - When Love Begins ~ Fairytale Waltz Music 왈츠,사랑이 시작되는 순간💕",3,66.67,2,0:00:18,0.01
YT_RELATED.GmCkO6lcCfM,Content,"Успокаивает, восстанавливает нервную систему 🌿 Перестаньте думать, музыка для снятия стресса #4",2,0,2,0:53:40,1.7891
YT_RELATED.HYNxhvobOUw,Content,🔥❄️ Calm Piano and Fire Crackling | Snowy Evening Ambience | 3 Hours for Relax Calm Healing Focus,9,11.11,2,0:21:13,0.7073
YT_RELATED.Kh-bpe_T258,Content,"Relaxing Sleep Music + Bamboo Water Sounds 🌿 Calming Music for Sleep, Eliminate Stress, Meditation",3,0,2,1:00:18,2.0101
YT_RELATED.LMSOG__feyA,Content,"Soothing, relaxing music reduces stress and stops thinking too much",1,100,2,0:30:46,1.0256
YT_RELATED.MEgWNVkq5rU,Content,Relaxing Piano Music and Nature Sounds for Stop Overthinking 🌿 Restore Your Nervous System,3,0,2,0:31:08,1.0383
YT_RELATED.N6fekNythNQ,Content,Classical Music for Winter,10,20,2,0:02:10,0.0724
YT_RELATED.NdHDG9pxq9k,Content,"Music Therapy 🍁 Stop Overthinking, Stress Relief & Healing With Autumn Melodies",8,12.5,2,0:32:03,1.0684
YT_RELATED.NdgLj3-tEgM,Content,Fantasy World - Beautiful Sad Piano Song Instrumental,2,100,2,0:21:21,0.7122
YT_RELATED.NfVbGR8bOvs,Content,December 2025 Playlist 🎄 | 2h Indie Pop/Folk Music for Peaceful Winter Nights & Warm Hearts,4,25,2,0:00:30,0.0172
YT_RELATED.NgqIMgWLxSQ,Content,Worship Session - 17/01/23,1,0,2,0:00:03,0.002
YT_RELATED.OIGQss5Es6I,Content,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 • Red Brick and Sunset Tea ☕︎,3,66.67,2,0:32:08,1.0715
YT_RELATED.PPl9ioO_MlI,Content,"a calm autumn playlist for reading, studying or writing 🍂",11,9.09,2,0:24:23,0.8133
YT_RELATED.Qsd3JngRHng,Content,Peaceful 1950s Winter Morning | Gentle Vintage Jazz with Oldies Playing in Another Room,3,66.67,2,0:18:42,0.6234
YT_RELATED.RI9Jwd3BhUY,Content,The Difference Between a Beautiful Home and a Tacky One,0,,2,0:00:25,0.014
YT_RELATED.S8I0MdfBvbs,Content,"a dreamy piano playlist for autumn, tea and reading",15,6.67,2,0:15:37,0.5208
YT_RELATED.T7dnxavj6vc,Content,Взвешивание борцов до 52 кг.,1,200,2,0:00:33,0.0187
YT_RELATED.TFuGEwDELqA,Content,a comfort playlist for a quiet moment,31,3.23,2,0:32:05,1.0699
YT_RELATED.U0MmgBi2AOk,Content,차가운 공기 위에 내려앉은 따듯한 크리스마스,20,5,2,0:43:43,1.4573
YT_RELATED.UFBAJ2Do2us,Content,Journey of Life,6,33.33,2,1:00:18,2.0101
YT_RELATED.VA-y08_xesI,Content,Peaceful Winter Sun Guitar | Gentle Acoustic Ambiance and Coffee Jazz Sounds,10,20,2,0:30:48,1.027
YT_RELATED.VKTIUAyCkYk,Content,"Top 7 Swiss Hidden Gems in the Alps + Relaxing Music , 4K",0,,2,0:56:17,1.8763
YT_RELATED.VTUDAi2WNgA,Content,"Taylor Swift 💫 From teen country star to global icon, her storytelling resonates worldwide",1,200,2,0:30:09,1.005
YT_RELATED.Viw97dPEjs0,Content,"FALL ASLEEP INSTANTLY – Heavy Rain & Relaxing Piano for Emotional Healing, Peaceful Sleep",0,,2,0:45:04,1.5028
YT_RELATED.WMlf3ofgAZM,Content,Crisp autumn days | Piano Playlist,6,33.33,2,0:09:33,0.3188
YT_RELATED.WqocXW4JUdk,Content,a calm playlist for reading,8,0,2,0:38:07,1.2709
YT_RELATED.WrG_JB312FM,Content,Stress Relief Music for Sleep 🌿 Gentle Healing Sounds That Soothe the Mind and Heart Deeply,8,0,2,1:00:18,2.0101
YT_RELATED.WwGNfju9-Mg,Content,"Нежная музыка, успокаивает нервную систему и радует душу 🌿 целебная музыка для сердца и сосудов #5",1,0,2,0:42:53,1.4296
YT_RELATED.ZBHTd3WU2To,Content,"Quiet Mornings - Classical Music for Relaxation | Bach, Schubert, Mozart...",12,16.67,2,0:30:09,1.0051
YT_RELATED._CSUzrybSxM,Content,Calm Chinese Tea Music for Relaxation and Meditation Asian Instrumental Background,1,0,2,1:00:18,2.0101
YT_RELATED._Scr8cHBdsY,Content,"❄️☕ Cozy Breakfast playlist | Peaceful Piano Music for Relaxation, Focus Reading Study & Inner Calm",3,66.67,2,0:38:02,1.2681
YT_RELATED._b23MI6bjG8,Content,a playlist for a quiet writing,16,12.5,2,0:09:56,0.3315
YT_RELATED._zsFZIhhsho,Content,"Morning Bliss ☕ Relaxing Piano Music for a Calm Start, Soothing Melodies & Nature Sounds 🏞️",4,0,2,1:00:18,2.0101
YT_RELATED.aQA4SVUEmwo,Content,autumn feels like poetry 🍂 (calm piano for studying/relaxing),24,4.17,2,0:14:45,0.4921
